strategy,25/08/2022,26/08/2022,6/9/2022,07/09/2022,08/09/2022,09/09/2022,12/09/2022,13/09/2022,14/09/2022,15/09/2022,16/09/2022,19/09/2022,20/09/2022,21/09/2022,22/09/2022,26/09/2022,27/09/2022,28/09/2022,29/09/2022,30/09/2022,03/10/2022,04/10/2022,05/10/2022,06/10/2022,07/10/2022,11/10/2022,12/10/2022,13/10/2022,14/10/2022,17/10/2022,18/10/2022,19/10/2022,20/10/2022,21/10/2022,25/10/2022,26/10/2022,28/10/2022,31/10/2022,01/11/2022,02/11/2022,03/11/2022,04/11/2022,08/11/2022,09/11/2022,10/11/2022,14/11/2022,15/11/2022,16/11/2022,17/11/2022,18/11/2022,21/11/2022,22/11/2022,23/11/2022,24/11/2022,25/11/2022,28/11/2022,29/11/2022,30/11/2022,01/12/2022,02/12/2022,05/12/2022,06/12/2022,07/12/2022,08/12/2022,09/12/2022,12/12/2022,13/12/2022,14/12/2022,15/12/2022,16/12/2022,21/12/2022
strat_1a_twitter_sentiment_vader,10000,10000,9883.914457,10102.845487805233,10142.815394547646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_1b_twitter_sentiment_flair,10000,10000,9923.012979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2a_finviz_rel_vol_change,10000,10000,10202.76612,9884.574034311545,9334.21171413609,9907.93341661568,10771.297131419078,10193.930890473015,10215.572229653662,9902.182412916034,9812.696542766998,10082.70577109104,9633.963198076744,9411.796615814985,9328.312941060683,8965.448379565794,8777.316748434587,9127.57340798012,8633.19464209326,7748.245910109599,8134.472597871357,8255.479945203551,7950.905226270213,7824.987575058277,7207.652210035995,7137.439296106229,6991.61485145448,6676.531007649472,6463.4207818537725,6710.025293230139,6415.9418378235005,6439.179228166958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2a_finviz_rel_vol_market_cap,10000,10000,10034.0317,10300.630038688018,10515.495207086538,10640.551572318807,10633.978390764532,10408.170099732975,10427.856824627115,9976.89683097654,9908.8329922126,10255.5566820437,10158.27360618669,10083.95018807354,10000.530742761124,9862.723598924576,10053.955251417674,10220.2463646144,9666.684913070198,9601.594567653685,9698.595278850682,9819.266365754567,9991.67149252417,10089.676167235795,9978.726482359578,10048.60607910604,10048.03732900289,9242.817261966413,9061.864097810489,9023.172721079352,8970.615770006572,9001.945480606406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2a_finviz_rel_vol_sorted_change_min_market_cap,10000,10000,9845.013228,10116.233356913854,9535.461411364126,9228.626084685848,9530.935476738106,9367.19190124315,9363.846409272375,7119.994881323827,6305.303591818391,6378.097464376031,6396.276764315156,6164.778687983056,6164.852858430352,6072.929142318052,5918.97561534658,6143.367951376124,5952.631695442044,5892.532948933013,5958.067760977459,5813.078072622338,5935.133879804818,5934.368908456233,5961.664655215624,6125.799166981065,5776.798205795726,5909.05606998919,5904.029848866487,5963.956840837739,5767.8583285777,5655.321474840543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2b_barchart_rel_vol_change,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2b_barchart_rel_vol_market_cap,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2c_barchart_mid_day_rel_vol_change,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2c_barchart_mid_day_rel_vol_market_cap,10000,10000,10000.12967,10042.842495404751,10111.335628057264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark,10000,10000,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
