strategy,12/9/2022,13/09/2022,14/09/2022,15/09/2022,16/09/2022,19/09/2022,20/09/2022,21/09/2022,22/09/2022,26/09/2022,27/09/2022,28/09/2022,29/09/2022,30/09/2022,03/10/2022,04/10/2022,05/10/2022,06/10/2022,07/10/2022,11/10/2022,12/10/2022,13/10/2022,14/10/2022,17/10/2022,18/10/2022,19/10/2022,20/10/2022,21/10/2022,25/10/2022,26/10/2022,28/10/2022,31/10/2022,01/11/2022,02/11/2022,03/11/2022,04/11/2022,08/11/2022,09/11/2022,10/11/2022,14/11/2022,15/11/2022,16/11/2022,17/11/2022,18/11/2022,21/11/2022,22/11/2022,23/11/2022,24/11/2022,25/11/2022,28/11/2022,29/11/2022,30/11/2022,01/12/2022,02/12/2022,05/12/2022,06/12/2022,07/12/2022,08/12/2022,09/12/2022,12/12/2022,13/12/2022,14/12/2022,15/12/2022,16/12/2022,21/12/2022
strat_1a_twitter_sentiment_vader,-0.03146339,-0.967230972,-0.052399595,-2.027823754,1.327907446,1.781877945,-0.669904559,,-0.192733095,-0.594965675,0.2164792311393466,1.143760466687454,1.191238617454346,0.1875355795178984,,0.0444666350173793,0.0986820194249776,-1.2154682908996075,-0.4766931370155362,,0.1461384114977409,,-0.5472841103568317,-1.5640414132852676,-1.2572421436023975,-1.2013172448435034,,2.1477021405316554,-0.005339739338724,0.1848365468037445,,0.0926711436417827,0.1902886409890197,-0.6066132750772886,-0.5727270188835245,,3.2198181916695283,2.138624302434291,-1.7333872363842058,-0.2065829548313195,-1.577269804682255,,-0.5796495695964222,0.5483781093045036,1.5647747565718602,-1.108060433392711,-0.1667580882142647,-0.0812270309266568,-0.330102889734826,0.6345710898137986,1.97608168599736,2.756712396763378,0.062622265742666,1.7818266066763682,-0.615645385288717,-1.0768366167952264,1.5622339956891302,-1.2813994172037566,-1.959312862777188,-0.5972611583886828,0.2668744980536939,0.381055673022056,-2.0121482835774804,-0.6853253947645135,
strat_1b_twitter_sentiment_flair,-0.065354642,-0.924353545,-1.114596432,-1.630584017,0.281956993,,-0.465290539,,-0.295532026,-2.660504836,-0.8989167830537553,1.11992038113578,0.2887557200105584,1.3951614061358304,,-0.4401384725218668,,1.283641656449454,-0.4929163537930799,-0.2073691311642142,-0.260229584009503,4.705809878598703,-1.1426263116623523,-1.765728151342446,-1.3471662860471043,-0.5848735347438742,-0.9588830385012626,0.4009727951987952,-0.2498966527019365,-0.0140484372848732,0.8111576427468027,-0.0236820182681731,-1.604024641207998,-0.238823406379015,,,1.9336806256386625,-3.8206741304263776,-2.9215390186684456,,-2.266351361273628,-0.5326155748771453,,0.1396287196287085,0.2057730825759608,-0.5702883135787852,,0.5004882886353881,0.4321451372349111,-2.460417515761019,,3.1261103353710498,1.4686853796208743,1.1845789117228196,-0.864186930040796,-3.31040774341287,-0.6127876455611476,-1.0342751156847043,-1.5752542749628264,-0.6696218471827523,,-0.4089507252682415,-1.0747414099343222,0.0265874674244332,
strat_2a_finviz_rel_vol_change,8.713862705,-5.36022945,0.212296311,-3.067765659,-0.903698462,2.751631289,-4.450616563,-2.306076717,-0.887011037,-3.889926976,-2.098407387632742,3.990475330721092,-5.416321992596968,-10.250536083929765,4.984698372283528,1.4875868825701035,-3.689364167255917,-1.5836894998559,-7.88928236755295,-0.9741440330875047,-2.043091907363778,-4.506596122631963,-3.19193044339243,3.815386924346858,-4.382747345279676,0.3621820604181084,,-3.904291820015733,2.9169186231395363,24.249213945921348,-11.32365995855711,-3.106961586980288,-1.8783219484830624,-0.3953800484565,5.385989409894519,2.2933368831253027,1.88852913968547,-5.459061596468801,1.1784026190124497,5.966429436377548,-9.56328788622819,-4.950002944279603,-0.1117498681991855,10.29193323604308,-1.1619425223063626,5.988079422925403,9.163169429975442,0.0,-0.1607760117152793,-4.712667483695113,7.29841526444914,-9.37360327731736,4.861533596661174,-0.1070016098955238,2.0154573018396333,-4.490370339023738,-4.852139308095339,-0.4860704875078045,-2.313720655754987,-5.500119035400658,-7.039957189759607,9.093606736371948,6.444226399949129,-1.4567489340826068,
strat_2a_finviz_rel_vol_market_cap,-0.06177482,-2.123460127,0.18914684,-4.324570247,-0.682214519,3.499137488,-0.948588934,-0.731654029,-0.827249677,-1.377998302,1.9389335062978896,1.6539870035056994,-5.416321992596968,-0.6733471298780387,1.0102562705967466,1.244212006320413,1.7557841935206129,0.9808636601488796,-1.099635736937762,0.7002857215296535,-0.0056599900391665,-8.013704972136912,-1.95777065614544,-0.4269692892490457,-0.5824664194890101,0.3492481609187234,,3.0544311681493856,1.1191593069109331,1.6141556033530289,0.911123013377819,-1.957360398871533,-1.4405763250229575,-1.862417597276617,2.3332259651637286,0.2698993129163136,4.167761939968259,-4.801256296937281,0.9740680479895492,0.7402052688840922,-0.9642089098177166,-2.4885837135280053,2.475256601861547,-0.3821193480144575,3.6245093757600446,0.7096971184644645,-1.3022317000461043,0.0,-0.6036432840971975,-1.13297582442754,-0.9927098496412144,1.5544652104058332,-0.3839613406017997,1.512961669604319,-2.460474839945746,-3.2744014403586514,0.3320695938090466,-1.3092383436010824,-4.7158277784119855,-0.4280741747401771,-2.5321226653532904,0.4347870590576349,-1.9872539809582304,0.3035475433305509,
strat_2a_finviz_rel_vol_sorted_change_min_market_cap,3.275778965,-1.718022076,-0.035714993,-23.96292538,-11.44230162,1.154486402,0.285027001,-3.619262969,0.001203132,-1.491093433,-2.535078598211803,3.791067080049215,-3.104750642379404,-1.0096164114277053,1.1121670869284208,-2.433501836027026,2.099676034927561,-0.0128888642459787,0.4599603964710695,2.753165789388131,-5.697231523137488,2.289466577883449,-0.0850596281905382,1.0150184451177484,-3.288060552639636,-1.951102945430848,,4.076418093759712,-1.5195462872175631,4.176854036471559,,,-3.543186810930638,-3.988963369660997,-0.5652561272317871,-0.4274559352013056,0.5906492621193138,-2.768478166569876,-1.6805886206957803,4.37246325421871,1.832231994265567,-3.898862895549028,5.355730578651837,-2.1342541185088706,-0.4593288583390676,1.2615592448312236,1.633277633792586,0.0,-0.4627285626429329,-4.293505245459637,-0.0280661888245413,3.81085510608078,2.5925484954838978,-2.072728207271175,-4.299177237076656,1.0670352471600018,1.0582726128304785,-2.967174786243449,-1.0334640301591207,0.9153468340310608,-0.263850839852148,-1.1231330244632227,-2.078684070292857,-3.6067218477262215,0.0
strat_2b_barchart_rel_vol_change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2b_barchart_rel_vol_market_cap,0.372106055,0.674925617,-0.375306373,-0.180066855,,1.82e-14,0.229937064,-0.659653199,-0.603434168,-34.39806782,-66.12296110414051,0.7282688945567133,1.5862155055315452,-66.15111111111112,,0.4993477535418605,-0.2240740740740693,0.0992140367843603,-2.380952380952367,-0.966801840856624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2c_barchart_mid_day_rel_vol_change,-0.418910832,0.627044587,-0.397747429,-0.680942001,-0.028674378,1.82e-14,-0.089103387,-1.118276818,0.115438555,0.426681592,2.762431034397905,1.0386652398816296,,-0.1433295073570843,,,,0.1363211951447374,-0.7912622301623923,-0.8589967120970141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2c_barchart_mid_day_rel_vol_market_cap,-0.138414186,0.618793807,-0.619867215,-0.220894262,0.106691953,1.82e-14,-0.141039823,-0.927337177,-0.046110561,0.037784484,0.1550044286979755,0.042308699333771,-0.4030924666205647,-0.3457410849465122,0.3761269449409155,0.5981551986241539,0.2525054466230904,-0.6775647200595812,0.0403997852250722,-0.8132409039244521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark,0.72,-3.04,0.439831105,-0.64809774,-0.352611066,0.406935598,-0.299555947,-1.025100706,-0.571428571,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
