,,Symbol,Name,Last,Industry,Change,"Market Cap, $K",Volume,Prev Vol,Links
0,,AGI.TO,Alamos Gold Inc Cls A,10.32,TSX Gold,+0.59,3815545,"523,114","275,389",
1,,CGG.TO,China Gold Int Resources Corp,4.04,TSX Other Precious Metals & Mine,+0.12,1553942,"12,299","6,241",
2,,CXB.TO,Calibre Mining Corp,1.27,TSX Gold,+0.11,519776,"788,212","403,170",
3,,DPM.TO,Dundee Precious Metals Inc,7.64,TSX Gold,+0.26,1408048,"320,439","257,311",
4,,EDR.TO,Endeavour Silver Corp,5.00,TSX Indices Materials,+0.36,833077,"224,325","159,079",
5,,FIL.TO,Filo Mining Corp,24.83,TSX Industrial Metals Minerals,+1.46,2838324,"267,406","236,100",
6,,FR.TO,First Majestic Silver Corp Common,11.29,TSX Silver,+0.68,2788781,"561,777","469,604",
7,,FVI.TO,Fortuna Silver Mines Inc,4.64,TSX Silver,+0.34,1256359,"872,607","697,931",
8,,GGD.TO,Gogold Resources Inc,2.57,TSX Other Precious Metals & Mine,+0.21,696809,"257,782","202,607",
9,,IMG.TO,Iamgold Corp,2.92,TSX Gold,+0.18,1312186,"1,093,589","518,764",
10,,K.TO,Kinross Gold Corp,5.74,TSX Gold,+0.25,7132608,"1,802,091","1,639,958",
11,,KRR.TO,Karora Resources Inc,4.53,TSX Gold,+0.44,635015,"878,103","613,008",
12,,MAG.TO,MAG Silver Corp,18.66,TSX Silver,+0.86,1755565,"159,184","110,425",
13,,NGD.TO,New Gold Inc,1.74,TSX Gold,+0.10,1118644,"1,224,703","642,629",
14,,NSR.TO,Nomad Royalty Company Ltd,10.38,TSX Other Precious Metals & Mine,+0.47,609084,"105,200","25,689",
15,,NUAG.TO,New Pacific Metals Corp,4.41,TSX Other Precious Metals & Mine,+0.32,638499,"64,670","48,139",
16,,OGC.TO,Oceanagold Corp,3.05,TSX Gold,+0.17,2028128,"1,436,838","555,350",
17,,OSK.TO,Osisko Mining Inc,3.92,TSX Gold,+0.14,1320955,"319,427","305,807",
18,,SII.TO,Sprott Inc,47.65,TSX Asset Management,-0.01,1196418,"55,483","42,951",
19,,SIL.TO,Silvercrest Metals Inc,9.63,TSX Other Precious Metals & Mine,+0.46,1338075,"174,996","142,947",
20,,SLS.TO,Solaris Resources Inc,11.21,TSX Other Precious Metals & Mine,+0.12,1257799,"298,813","233,733",
21,,SSL.TO,Sandstorm Gold Ltd,8.72,TSX Gold,+0.41,1597383,"228,012","182,126",
22,,SVM.TO,Silvercorp Metals Inc,3.69,TSX Silver,+0.24,611491,"209,404","187,482",
23,,TFPM.TO,Triple Flag Precious Metals Corp,16.70,TSX Other Precious Metals & Mine,+0.23,2569619,"3,637","3,164",
24,,TXG.TO,Torex Gold Resources Inc,13.13,TSX Gold,+0.60,1075600,"174,111","145,588",
